category,n_train,n_test,auroc_img_mse,auroc_img_ssim,auroc_pixel_ssim,seconds
bottle,209,83,0.9143,0.6,0.7923,492.5
cable,224,150,0.6617,0.6261,0.7943,992.9
capsule,219,132,0.7734,0.5971,0.9184,960.0
carpet,280,117,0.3066,0.5152,0.6205,968.5
grid,264,78,0.3926,0.7402,0.6141,486.2
hazelnut,391,110,0.9629,0.9568,0.9651,1312.1
leather,245,124,0.6097,0.6834,0.7743,1006.9
metal_nut,220,115,0.5547,0.4814,0.8581,432.9
pill,267,167,0.6222,0.6481,0.9107,969.6
screw,320,160,0.4384,0.4083,0.9631,970.7
tile,230,117,0.8553,0.7298,0.5003,946.2
toothbrush,60,42,0.6833,0.9528,0.9585,342.7
transistor,213,100,0.7796,0.8025,0.8884,1337.0
wood,247,79,0.9561,0.9368,0.6745,1323.7
zipper,240,151,0.7248,0.6211,0.8401,416.8
